Experiment,Dice (%),IoU (%),Pixel Accuracy (%),Samples
Augmentation,59.655338525772095,47.34458029270172,97.62588739395142,10
Combined Snake Aug,59.22144055366516,44.8702871799469,95.36026120185852,10
Snake Crop,55.21091818809509,44.167518615722656,96.48773074150085,10
Baseline,52.7803897857666,40.28374254703522,97.222900390625,10
Clahe,49.73538517951965,36.89365088939667,97.2674548625946,10
Blur,49.60223734378815,37.37100660800934,97.14462161064148,10
Combined Clahe Crop Aug,43.35050582885742,33.72592329978943,88.32266330718994,10
Hist Eq,40.198931097984314,30.180874466896057,96.80709838867188,10
Normalize,36.63330078125,26.89342498779297,96.97524905204773,10
Sharpen,36.41815185546875,26.356568932533264,97.00180292129517,10
Crop Fixed,34.30255055427551,25.8317768573761,87.4250054359436,10
Optimizer Sgd,6.588424805720194e-08,6.588424805720194e-08,95.94650268554688,10
